home_team,away_team,home_score,away_score,Total_Shots,Possession,Player_Rating
Real Madrid,Ath.Bilbao,3,0,0.726086957,0.120521739,0.409565217
Real Madrid,Barcelona,0,1,0.482608696,0.117043478,0.34
Real Madrid,Ath.Madrid,0,0,0.413043478,0.11773913,0.34
Real Madrid,Valencia,2,0,0.691304348,0.120521739,0.360869565
Real Madrid,Sevilla,2,0,0.795652174,0.121217391,0.371304348
Real Madrid,Espanyol,1,0,0.691304348,0.118434783,0.357391304
Real Madrid,Real Sociedad,0,2,0.517391304,0.119826087,0.346956522
Real Madrid,Villareal,3,2,0.691304348,0.11773913,0.353913043
Real Madrid,Eibar,2,1,0.760869565,0.121217391,0.374782609
Ath.Bilbao,Real Madrid,1,1,0.447826087,0.118086957,0.336521739
Barcelona,Real Madrid,5,1,0.447826087,0.116347826,0.326086957
Ath.Madrid,Real Madrid,1,3,0.760869565,0.120173913,0.371304348
Valencia,Real Madrid,2,1,0.62173913,0.119130435,0.360869565
Sevilla,Real Madrid,3,0,0.865217391,0.117043478,0.326086957
Espanyol,Real Madrid,2,4,0.726086957,0.119826087,0.374782609
Real Sociedad,Real Madrid,3,1,0.586956522,0.117043478,0.326086957
Villareal,Real Madrid,2,2,0.62173913,0.116695652,0.353913043
Eibar,Real Madrid,3,0,0.447826087,0.116347826,0.312173913
Barcelona,Ath.Bilbao,1,1,0.691304348,0.118434783,0.360869565
Barcelona,Ath.Madrid,2,0,0.552173913,0.120869565,0.395652174
Barcelona,Valencia,2,2,0.691304348,0.120173913,0.360869565
Barcelona,Sevilla,4,2,0.726086957,0.121217391,0.423478261
Barcelona,Espanyol,2,0,0.795652174,0.121565217,0.423478261
Barcelona,Real Sociedad,2,1,0.447826087,0.119826087,0.395652174
Barcelona,Villareal,2,0,0.62173913,0.120521739,0.374782609
Barcelona,Eibar,3,0,0.865217391,0.122608696,0.360869565
Ath.Bilbao,Barcelona,0,0,0.726086957,0.119826087,0.336521739
Ath.Madrid,Barcelona,1,1,0.447826087,0.120521739,0.360869565
Valencia,Barcelona,1,1,0.552173913,0.119130435,0.371304348
Sevilla,Barcelona,2,4,0.691304348,0.120521739,0.409565217
Espanyol,Barcelona,0,4,0.726086957,0.119826087,0.416521739
Real Sociedad,Barcelona,1,2,0.691304348,0.118086957,0.395652174
Villareal,Barcelona,4,4,0.795652174,0.120521739,0.374782609
